,Total Gap,Fraction Electric Spending,Total Households,Households Poverty <2.5,Avg Total Energy Cost,Fraction Owners,Median Cost Burden,Median Cost Burden Poverty<2.5,Utility Number,Utility Name
134.0,152942.0,0.708351234066208,2331.0,658.0,1952.4903564453125,0.6507936507936508,2.5199999809265137,5.840000152587891,2285.0,City of Brookings - (SD)
135.0,154856.0,0.6312420575277345,1913.0,519.0,1659.3282470703125,0.5875588081547308,2.0299999713897705,5.150000095367432,2394.0,Burke-Divide Electric Coop Inc
136.0,25079932.0,0.9689450097472875,93983.0,53462.0,1936.64453125,0.6557994530925806,4.150000095367432,7.239999771118164,2409.0,Brownsville Public Utilities Board
137.0,635700.0,0.7946701548587993,1058.0,701.0,2010.780517578125,0.32608695652173914,7.164999961853027,14.319999694824219,2411.0,City of Brownsville
139.0,533586.0,0.7266601725866703,2539.0,811.0,2403.9384765625,0.671918077983458,3.109999895095825,7.579999923706055,2487.0,City of Buford
140.0,24698820.0,0.7796199649144523,34085.0,14462.0,3337.09375,0.7642071292357342,6.059999942779541,12.024999618530273,2502.0,"Buckeye Rural Elec Coop, Inc"
141.0,3303585.0,0.666891714833458,43357.0,12678.0,1478.3955078125,0.42841986299790114,1.850000023841858,6.349999904632568,2507.0,City of Burbank Water and Power
142.0,3936935.0,0.5434333739454645,15762.0,5893.0,2131.655517578125,0.38770460601446516,3.309999942779541,8.489999771118164,2548.0,City of Burlington Electric - (VT)
144.0,6514972.0,0.7687473318350864,15636.0,4063.0,3480.774169921875,0.8231005372217959,4.300000190734863,10.640000343322754,2651.0,Butler Rural Electric Coop Inc - (OH)
145.0,718095.0,0.6685704241208271,4077.0,1138.0,2376.556396484375,0.8221731665440275,3.309999942779541,7.869999885559082,2652.0,Butler County Rural Elec Coop - (IA)
146.0,6542273.0,0.8194619505244016,16420.0,7685.0,2312.408447265625,0.6914129110840439,4.610000133514404,9.640000343322754,2678.0,C & L Electric Coop Corp
147.0,1806077.0,0.7603417107302161,3341.0,1304.0,3278.5087890625,0.6902125112241844,5.309999942779541,9.970000267028809,2774.0,CMS Electric Coop Inc
148.0,950411.0,0.8379526345561515,3828.0,1743.0,2228.7080078125,0.5190700104493208,3.869999885559082,7.170000076293945,2812.0,City of Calhoun - (GA)
152.0,10622260.0,0.8012858384443577,26176.0,11770.0,2440.984619140625,0.8056234718826406,4.449999809265137,9.739999771118164,2849.0,Central Electric Power Assn - (MS)
153.0,4662317.0,0.9455731539504875,19236.0,7739.0,2150.669921875,0.5536494073611977,3.609999895095825,7.840000152587891,2903.0,Canoochee Electric Member Corp
154.0,7073587.0,0.7953033140497512,20465.0,9461.0,2358.6142578125,0.724505252870755,4.429999828338623,8.739999771118164,2911.0,"Canadian Valley Elec Coop, Inc"
155.0,7418113.0,0.864644813985574,26919.0,12794.0,2133.555419921875,0.7623611575467142,4.179999828338623,7.71999979019165,2960.0,"Caney Fork Electric Coop, Inc"
156.0,1374325.0,0.6773175756651554,16315.0,3928.0,1802.297607421875,0.7073245479619982,2.2200000286102295,6.090000152587891,2985.0,"Capital Electric Coop, Inc"
157.0,258574544.0,0.844906998061064,1208773.0,436387.0,2099.337646484375,0.6573459202017252,3.240000009536743,7.739999771118164,3046.0,Duke Energy Progress - (NC)
158.0,258574544.0,0.844906998061064,1208773.0,436387.0,2099.337646484375,0.6573459202017252,3.240000009536743,7.739999771118164,3046.0,Duke Energy Progress - (NC)
159.0,5769427.0,0.833185558108369,11518.0,5621.0,2642.711181640625,0.7628928633443306,5.420000076293945,9.630000114440918,3075.0,Carroll County - (TN)
160.0,17103660.0,0.7628026930510626,44201.0,17667.0,2625.63330078125,0.6899165177258433,4.170000076293945,9.140000343322754,3081.0,Carroll Electric Member Corp - (GA)
